programme_id,university_name,programme_title,programme_website_url,status
w64274,karlsruhe institute karlsruhe,information systems engineering management,,not_found
w65257,munich,information technologies built environment,,not_found
w76947,srh heidelberg,information ai,,not_found
w72437,media design design computerscience,information data science,,not_found
w58775,giessen,insect biotechnology bioresources,,not_found
w74175,georg simon ohm nuremberg,intelligent autonomous systems,https://www.th-nuernberg.de/studiengang/intelligent-autonomous-systems-meng/#tab-requirements,found
w39157,hamburg,intelligent adaptive systems,,not_found
w73172,brandenburg,interactive media,,not_found
w32587,hallewittenberg,international area studies global change geography,,not_found
w22630,erlangennuremberg,international information systems,,not_found
w44254,south westphalia,international management information systems,,not_found
w63892,south westphalia,international management information systemsonline careerintegrated continuing combined degree course,,not_found
w76837,augsburg,international research innovation,,not_found
w49047,bamberg,international software systems science,,not_found
w65273,west saxon zwickau,internet things smart systems,,not_found
w70240,europe,iot devices smart services,,not_found
w49070,fachhochschule wedel,it engineering,,not_found
w55385,lübeck,it security,,not_found
w29660,darmstadt,it security,,not_found
w49886,hohenheim,landscape ecology,,not_found
w43856,saarland,language communication technologies,,not_found
w7425,saarland,language science,,not_found
w64037,deggendorf,life science informatics,,not_found
w7129,bonn,life science informatics,,not_found
w64325,darmstadt,logistics supply chain management,,not_found
w63840,eberhard karls tübingen,machine learning,https://www.uni-tuebingen.de/de/140323,found
w49048,leuphana lüneburg,management data science,,not_found
w55377,ludwig maximilians munich,management digital technologies,,not_found
w70087,west saxon zwickau,management information,,not_found
w65376,bremen,management information systems,,not_found
w55352,mannheim,mannheim data science mmds,,not_found
w64074,mannheim,mannheim management analytics ai,,not_found
w64350,mannheim,mannheim data science measurement,,not_found
w63568,hamburg,marine ecosystem fisheries science,,not_found
w65065,mannheim,management analytics fulltime,,not_found
w66100,hertie school,data science public policy,,not_found
w67189,esmt european school management,s analytics ai,,not_found
w72710,brandenburg cottbussenftenberg,mathematical data science,,not_found
w59180,passau,mathematics,,not_found
w28710,jena,mathematics,,not_found
w54198,saarland,mathematics computerscience,,not_found
w73002,augsburg,mathematics computerscience,,not_found
w55325,munich,mathematics data science,,not_found
w72792,heidelberg,mathematics machine learning data science,,not_found
w65599,würzburgschweinfurt,mba transformation,,not_found
w71907,german international,media engineering,,not_found
w42509,saarland,media informatics,,not_found
w65058,augsburg,medical information,,not_found
w72322,munich,microelectronics chip design,,not_found
w58173,magdeburg,operations research business analytics,,not_found
w70334,bayreuth,philosophy computerscience,https://www.international-office.uni-bayreuth.de/de/studiengangsseiten/4-bewerbungsfristen-masterstudiengaenge/index.php,found
w5604,stuttgart,photogrammetry geoinformatics,,not_found
w65229,berlin school htw,professional it business digitalisation,,not_found
w56355,berlin school htw,project management data science,,not_found
w77369,saarland,quanteninformationstheorie,,not_found
w68439,siegen,quanmunich science,,not_found
w67867,braunschweig,quanmunich technologies electrical computer engineering,,not_found
w61854,karlsruhe institute karlsruhe,remote sensing geoinformatics,,not_found
w70254,deggendorf,robotics,https://th-deg.de/mro-m,found
w55386,lübeck,robotics autonomous systems,,not_found
w72471,fresenius heidelberg stateapproved fresenius für internationales management gmbh,sap engineering analytics,,not_found
w61581,würzburg,satellite,,not_found
